,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
717,7891458,Arlo SoHo,Arlo NoMad,0.7907226856643753,Hotel Hugo,0.8753177908819523,The James New York - SoHo,0.897506433175296
718,99371,Courtyard New York Manhattan/Midtown East,Courtyard by Marriott New York Manhattan/Central Park,0.8946959522946932,Courtyard New York Manhattan/Times Square,0.9096437539086009,Courtyard New York Manhattan/Times Square West,0.9165090492640261
719,223019,Broadway Plaza Hotel,Seton Hotel,0.929722581911539,Aloft Harlem,0.9331861808851404,Comfort Inn Times Square West,0.9393630081244542
720,290987,St. Marks Hotel,U.S. Pacific Hotel,0.9314515674119385,The Ridge Hotel,0.9329127192764497,Seafarers & International House,0.9341803394666978
721,1181739,The Jane,Hotel 31,0.8716001057127519,The Bowery House,0.8908186575516365,Pod 51 Hotel,0.905481237921161
722,1657771,La Quinta Inn & Suites Brooklyn Downtown,La Quinta Inn & Suites Brooklyn Central,0.76,Global Luxury Suites at Washington,0.8585786437626906,Kings Hotel,0.8666666666666667
723,10039979,AKA Wall Street,AKA Sutton Place,0.7544924184414261,Hotel Americano,0.8872163285055279,AKA Smyth Tribeca,0.8890216256529981
724,93539,Riverside Tower Hotel,Royal Park Hotel,0.8920678840690055,The Hotel 91,0.9107427433131873,Marrakech Hotel on Broadway,0.9261451054124004
725,235235,Oakwood Bridge Tower Place,Heart of Harlem,1.0,Times Square Beds,1.0,Rostel,1.0
726,504803,The Harlem Flophouse,Saint Nicholas Inn,0.9047614248485003,The Harlem YMCA,0.9061611822302824,Manhattan Bowery Lodge,0.9062426749228314
727,1371875,Inn on Second,At Home In Brooklyn,0.2928932188134523,Bibi's Garden Bed and Breakfast,0.42264973081037416,Arlington Place Bed and Breakfast,0.4999999999999999
728,1947235,Furnished Dwellings,Oakwood 24 East 38th Street,0.591751709536137,Apt 168,0.6464466094067263,The Village House NY,0.7327387580875757
729,2689635,Landmark Guest Rooms,Broadway Tower,0.7642977396044841,The Kitano Hotel New York,0.9421200919826768,Days Inn by Wyndham Hotel New York City-Broadway,0.958387481071176
730,3580899,Hampton Inn Manhattan / Downtown - Financial District,DoubleTree by Hilton Hotel New York City - Financial District,0.9213733035487057,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,0.9225311646237956,Hampton Inn Manhattan-Seaport-Financial District,0.932299679961367
